Country Name,GDPPP
Aruba,38249.054868576
Afghanistan,1886.69297690361
Angola,7096.60061495221
Albania,11662.0343838096
Arab World,16500.6905796076
United Arab Emirates,70261.5350220449
Argentina,20551.8331920467
Armenia,8727.38544723722
Antigua and Barbuda,22882.9702199058
Australia,46270.1973987065
Austria,49877.7133112879
Azerbaijan,17973.0906672263
Burundi,764.195763296907
Belgium,45592.356176272
Benin,2122.23559176033
Burkina Faso,1704.85964271681
Bangladesh,3451.39850671617
Bulgaria,18186.4872278588
Bahrain,46912.9041636047
Bahamas,31362.4791822494
Bosnia and Herzegovina,12013.9829179346
Belarus,18389.7437503155
Belize,8519.20027555645
Bolivia,6882.48891604412
Brazil,15813.8732646232
Barbados,17510.9760071399
Brunei,80177.7561185515
Bhutan,8949.83705919535
Botswana,16724.5177802601
Central African Republic,750.777013508744
Canada,44567.8663498079
Switzerland,63938.9799757284
Chile,22688.0100281186
Djibouti,1000
China,14454.9979691089
C̫te d'Ivoire,3444.44979976871
Cameroon,3442.73447978125
DR Congo,867.088357369135
Congo,6089.83965524085
Colombia,14006.1535843433
Comoros,2663.84466323937
Venezuela,8000
Cuba,4670
Cabo Verde,6415.61246184696
Costa Rica,15610.8795501867
Caribbean small states,15846.6343864289
Curacao,27947.8216798529
Cayman Islands,68131.3262326776
Cyprus,31578.3544277306
Czechia,33691.4242392608
Germany,47979.4842029352
Dominica,10909.7807277146
Denmark,49058.5010658416
Dominican Republic,14649.9180814895
Algeria,14710.730106735
Ecuador,11431.9915842402
Egypt,10938.8618617897
Spain,35028.301349761
Estonia,29212.9488725628
Ethiopia,1621.70672640403
Finland,42220.9576671019
Fiji,9372.54232042071
France,40833.2420664584
Micronesia,3350.50691684941
Gabon,17819.5595910869
United Kingdom,42042.9193193389
Georgia,9617.55678772637
Ghana,4044.4133711276
Guinea,1986.17423290253
Gambia,1582.19274088869
Guinea-Bissau,1574.46116409787
Equatorial Guinea,29592.3796724132
Greece,26902.525319841
Grenada,13280.9824330093
Guatemala,7788.49793364732
Guyana,7568.70878822088
High income,45799.4111227976
Hong Kong,57235.1829138288
Honduras,4536.13535649536
Croatia,23008.2093094549
Haiti,1766.0441827204
Hungary,26356.3137368806
Indonesia,11063.0622072672
India,6133.88707190532
Ireland,69056.0460368695
Iran,17817.6364749842
Iraq,15981.315091875
Iceland,48728.0993642438
Israel,35514.5449573587
Italy,36836.4263441635
Jamaica,8594.16268309982
Jordan,8979.26658769761
Japan,40396.2432092141
Kazakhstan,25123.3179901306
Kenya,2988.07328225379
Kyrgyz Republic,3453.36074583631
Cambodia,3513.82355956649
Kiribati,2110.11727296855
St. Kitts and Nevis,29026.582770661
South Korea,35760.734442377
North Korea,1200
Kuwait,75042.1419676728
Syria,1600
Eritrea,300
Laos,6075.92594663554
Lebanon,12695.4101431457
Liberia,1309.26956499574
Libya,15403.5732227745
Saint Lucia,12354.7207692634
Sri Lanka,11830.6957493208
Lesotho,3062.06809983576
Lithuania,28910.3735500066
Luxembourg,102780.440937044
Latvia,24723.547887922
Macao,107069.721593738
Morocco,7822.96804832241
Moldova,6082.84195598303
Madagascar,1470.79348884977
Maldives,13546.0502260718
Mexico,18284.8828438085
Marshall Islands,3611.62788358957
North Macedonia,13831.2279870305
Mali,2053.12857449708
Malta,36165.4010028343
Myanmar,5372.24116094665
Montenegro,16337.2537908133
Mongolia,12100.1273474905
Mozambique,1237.02378763803
Mauritania,3975.78755273431
Mauritius,20162.99668176
Malawi,1220.22958748423
Malaysia,27116.5762567526
Namibia,11160.3796376324
Niger,964.838078851482
Nigeria,6072.47729489315
Nicaragua,5174.9619235083
Netherlands,50302.0677470128
Norway,60519.9715159154
Nepal,2621.76657505927
Nauru,13104.480366436
New Zealand,37475.1783595906
Oman,41911.0864826498
Pakistan,4762.29672087027
Panama,22237.0930469827
Peru,12945.2515909503
Philippines,7313.4098049604
Palau,18297.0006493969
Papua New Guinea,4080.17338632061
Poland,26856.0650555563
Puerto Rico,37715.3618556278
Portugal,29684.6916690185
Paraguay,11807.7725893302
State of Palestine,4799.10538708987
Qatar,123822.08327823
Romania,21631.7701541759
Russian Federation,24061.0993654187
Rwanda,1895.11204489505
South Asia,5671.53567558558
Saudi Arabia,53897.9439750081
Sudan,4551.99691788528
Senegal,3205.89449919119
Singapore,89007.4608027369
Solomon Islands,2235.82694853756
Sierra Leone,1416.36613658096
El Salvador,7453.28411900657
San Marino,59697.4434168484
Serbia,14922.1370002419
South Sudan,2039.75061747159
Somalia,490
Sao Tome & Principe,3086.02509796124
Suriname,15472.9778966876
Slovakia,29691.5230297998
Slovenia,31645.4658754328
Sweden,48436.9751196205
Eswatini,9899.29485883111
Kyrgyzstan,550
Sint Maarten,35050.422820929
Seychelles,26546.4058522716
Turks and Caicos Islands,21958.8023196013
Chad,2191.74179538487
Togo,1566.99421824186
Thailand,16293.6097994167
Tajikistan,2851.70948577044
Turkmenistan,16011.5512129565
Timor-Leste,8177.85003587957
Tonga,5849.71733506623
Trinidad and Tobago,33598.7582974818
Tunisia,11598.8603864692
Turkey,25625.5746338527
Tuvalu,3619.41033807315
Tanzania,2791.02342444777
Uganda,1868.54715340754
Ukraine,7972.43561151467
Uruguay,21300.976070291
United States,56803.4724334919
Uzbekistan,6022.54600626742
St. Vincent and the Grenadines,11184.0905447225
Vietnam,5989.75769026725
Vanuatu,2925.44387434157
World,15802.7675936195
Samoa,5945.26512671099
Kosovo,9784.85275918319
Yemen,3320.11015559659
South Africa,13196.434924669
Zambia,3927.76181558308
Zimbabwe,2679.58031716081
